,Bx,By,Bz
0,-4.0153,-14.7222,-3.72592
1,-3.97562,-14.7642,-3.48855
2,-4.0099,-14.8181,-3.09591
3,-3.82803,-14.8804,-2.81013
4,-3.35621,-15.049,-2.09127
5,-3.06771,-15.1228,-1.91522
6,-3.02578,-15.1008,-1.78547
7,-2.54242,-15.1487,-1.72569
8,-2.74753,-15.1015,-1.74465
9,-2.95777,-15.0594,-1.31131
10,-2.87664,-15.1288,-1.06916
11,-3.21994,-15.1481,-0.952957
12,-3.22118,-15.1802,-0.856345
13,-3.04382,-15.1861,-0.987034
14,-3.56806,-15.0401,-0.966456
15,-3.21163,-15.0696,-1.17706
16,-3.23248,-15.0038,-0.121925
17,-3.28838,-14.9538,0.387923
18,-2.93083,-15.0361,0.556992
19,-2.87648,-15.0062,0.883709
20,-2.78541,-14.7575,1.91502
21,-2.57409,-14.7781,1.96918
22,-2.19076,-14.8545,1.46308
23,-2.29344,-14.9298,1.21624
24,-1.49454,-15.044,0.581151
25,-2.53908,-14.9311,1.54778
26,-2.02757,-15.0281,0.861565
27,-2.57114,-14.6954,1.43388
28,-2.87176,-14.3267,2.27163
29,-2.79897,-14.0523,2.11145
30,-2.1723,-13.6397,0.905332
31,-2.34237,-14.004,1.66532
32,-2.65475,-14.04,1.72772
33,-2.36418,-13.8531,1.33596
34,-1.91747,-13.9912,0.809999
35,-2.15245,-13.9922,1.25461
36,-2.42448,-13.6085,2.04941
37,-2.23941,-13.4662,1.88919
38,-1.78253,-12.8772,1.08257
39,-1.75546,-13.3408,1.39053
40,-1.23708,-12.9239,1.17211
41,-1.66162,-11.3081,0.732287
42,-1.41639,-11.504,1.8118
43,-0.778552,-10.3203,3.30985
44,-0.733176,-10.8937,3.79161
45,-0.580196,-12.0358,1.66795
46,-0.438592,-12.9378,1.76114
47,-0.916863,-13.545,1.17595
48,-1.03989,-13.7109,1.13393
49,-1.1482,-13.6098,1.54322
50,-1.05122,-13.3914,1.96452
51,-0.861519,-13.3492,2.15193
52,-0.735582,-13.3764,2.19111
53,-0.730937,-13.5234,1.87451
54,-0.738311,-13.5541,1.68752
55,-0.371061,-13.6643,1.57969
56,-0.635414,-13.6273,1.89612
57,-0.43491,-13.6238,1.883
58,-0.348154,-13.6034,1.96858
59,-0.392922,-13.6173,1.92173
60,-0.496273,-13.5989,1.70567
61,0.164928,-13.0553,3.25618
62,-0.206762,-13.1774,1.90508
63,-0.972249,-13.7081,-0.717439
64,-1.17289,-13.6809,-1.25403
65,-1.10714,-13.6548,-1.333
66,-1.0893,-13.8464,-0.338119
67,-1.2444,-13.7793,-0.829061
68,-1.01275,-13.747,-1.1286
69,-1.00147,-13.7757,-0.700355
70,-1.29542,-13.8455,-1.3253
71,-1.69419,-13.7489,-2.45107
72,-1.4795,-13.8033,-2.01084
73,-1.43495,-13.6543,-2.48624
74,-1.13064,-13.8369,-1.97312
75,-0.890608,-14.0558,-0.661284
76,-0.817946,-13.9713,-1.27216
77,-0.374295,-13.8731,-1.91962
78,-0.597892,-13.8614,-2.00647
79,-0.768462,-13.8415,-2.09153
80,-0.796551,-13.872,-2.15709
81,0.0924054,-14.124,-0.615145
82,0.424196,-14.1782,-0.00477772
83,-0.0685582,-14.2388,-0.0688695
84,-0.038032,-14.2441,-0.231576
85,0.0128698,-14.2647,-0.395195
86,-0.196143,-14.2755,-0.049209
87,-0.707828,-14.2274,0.394022
88,-0.296218,-14.1722,-0.105159
89,-0.244765,-14.1844,0.146417
90,-0.0888406,-14.2147,-0.249124
91,-0.479934,-14.189,-0.616094
92,-1.10226,-14.1468,-0.995299
93,-0.647757,-14.184,-1.47476
94,-0.956189,-14.2019,-1.75115
95,-1.08622,-14.2493,-1.68346
96,-0.870788,-14.311,-1.45617
97,-1.4069,-14.3574,-0.779571
98,-1.55025,-14.3941,-0.27073
99,-1.51523,-14.4064,-0.66845
100,-1.26386,-14.4442,-0.355656
101,-1.16664,-14.4339,-0.517045
102,-0.847886,-14.4517,-0.962792
103,-0.830295,-14.4697,-0.783298
104,-0.792827,-14.4889,-0.602426
105,-0.712354,-14.499,-0.662278
106,-0.60887,-14.5092,-0.5282
107,-0.0927363,-14.5129,-0.907419
108,-0.394953,-14.5993,-0.649832
109,-0.468442,-14.6028,-0.551861
110,-0.423806,-14.6143,-0.679312
111,-0.70198,-14.6096,-0.804281
112,-0.513861,-14.6033,-1.02818
113,-0.43342,-14.5199,-1.5355
114,-0.418924,-14.4885,-1.72327
115,-0.489215,-14.5609,-1.84543
116,-0.46957,-14.6014,-1.81355
117,-0.487382,-14.6301,-1.45837
118,-0.352425,-14.6317,-1.55813
119,-0.490194,-14.6727,-1.24189
120,-0.287816,-14.6663,-1.20634
121,0.0759192,-14.6397,-1.51636
122,-0.059542,-14.6458,-1.51867
123,-0.264587,-14.7061,-1.30685
124,-0.543121,-14.7912,-0.995991
125,-0.557904,-14.8208,-0.79766
126,-0.540761,-14.8478,-0.614279
127,-0.552689,-14.8586,-0.49917
128,-0.446092,-14.8711,-0.28355
129,-0.442862,-14.8638,-0.052092
130,0.0140499,-14.8288,-0.482012
131,-0.402589,-14.8315,-0.181384
132,-0.380945,-14.8391,0.075387
133,-0.340686,-14.7193,-0.547854
134,-0.682402,-14.6231,-1.27644
135,-0.243701,-14.6582,0.115713
136,0.198521,-14.6655,0.040431
137,-0.123517,-14.651,1.07219
138,0.148489,-14.4554,-1.20168
139,0.462922,-13.9514,-2.50128
140,0.412678,-14.3056,-1.21926
141,-0.0225804,-14.399,0.0647077
142,-0.66215,-14.3017,2.20829
143,0.417904,-14.4663,0.906221
144,-0.615722,-14.4374,1.66389
145,-0.798834,-14.4065,1.73504
146,-0.496406,-14.2847,1.12165
147,-0.0979364,-14.3041,0.0127396
148,-0.131647,-14.1692,-0.451744
149,-0.111698,-14.2041,0.105435
150,0.0686415,-14.1799,0.389873
151,0.335852,-14.2044,0.44585
152,-0.383729,-14.2781,0.864138
153,-0.600818,-14.2676,0.980811
154,-1.16188,-14.2391,1.0267
155,-1.29349,-14.1509,1.30433
156,-1.02087,-14.1814,1.36538
157,-0.995072,-14.1951,1.1705
158,-1.46239,-14.1734,1.30367
159,-1.60772,-14.2287,1.22384
160,-1.84487,-14.1527,1.37455
161,-1.76591,-14.2195,1.24989
162,-1.70838,-14.2975,0.989657
163,-1.77781,-14.1956,1.4249
164,-2.04563,-14.1024,1.81058
165,-2.12386,-14.1745,1.49652
166,-1.86337,-14.192,1.60362
167,-1.692,-14.1694,1.84178
168,-1.54963,-14.1704,1.85053
169,-1.6232,-14.207,1.34779
170,-1.47797,-14.2793,1.46479
171,-1.54392,-14.2286,1.71564
172,-1.2664,-14.1607,2.31209
173,-1.42816,-14.1803,2.38599
174,-2.19112,-14.0216,3.04043
175,-2.42318,-13.8962,3.18284
176,-1.52173,-13.9751,2.87793
177,-0.998029,-13.8857,3.24941
178,-0.885551,-13.932,2.96471
179,-0.694997,-13.7794,3.44482
180,-0.513698,-13.2758,4.77276
181,-0.36948,-13.2486,4.52632
182,-0.212915,-13.3153,4.6322
183,-0.115262,-13.3329,4.6758
184,0.0281386,-13.4407,4.32427
185,0.076188,-13.6346,4.03967
186,-0.0683776,-13.6361,3.9272
187,0.0520534,-13.5003,4.18535
188,-0.134343,-13.6843,3.57643
189,-0.277787,-13.7609,3.22112
190,-0.21274,-13.6691,3.51048
191,-0.0385164,-13.6753,3.42067
192,-0.605219,-13.8269,2.54538
193,-0.529089,-13.7492,2.65045
194,-0.566331,-13.8517,1.27562
195,-0.807175,-13.8762,0.887802
196,-0.134741,-13.2858,4.11157
197,0.0761277,-13.0234,4.92713
198,-0.294142,-12.6615,5.76593
199,-0.629915,-12.3808,-2.73819
200,-1.05394,-12.4172,-3.81486
201,-0.617896,-12.5742,-3.08089
202,-0.543692,-12.6139,-3.06453
203,-2.35187,-11.3164,-4.74485
204,-2.87618,-9.34229,-6.63411
205,-1.43984,-10.5355,-5.60953
206,-1.05536,-11.0449,-4.28639
207,-1.68879,-10.6259,-5.24619
208,-2.16552,-10.5086,-5.29039
209,-2.1913,-11.151,-4.81361
210,-2.44891,-11.2106,-4.44312
211,-1.52126,-11.521,-4.3314
212,-0.920552,-12.6785,-1.08644
213,-1.34331,-12.91,0.921208
214,-1.55244,-12.9537,0.82913
215,-2.33528,-12.7607,1.15929
216,-2.45588,-12.6648,1.44537
217,-2.26396,-12.6445,1.48656
218,-1.94222,-12.6634,1.74008
219,-2.35175,-12.5122,2.26381
220,-2.18262,-12.2214,3.00684
221,2.59185,-12.2765,-0.90332
222,2.43598,-12.4015,-0.643773
223,-0.571511,-12.988,2.05473
224,2.61258,-12.6947,0.949178
225,2.55802,-12.6584,1.71604
226,1.38549,-12.8059,1.84079
227,0.455125,-12.8887,1.80618
228,0.34085,-12.7533,2.58707
229,0.494991,-12.5596,3.81783
230,0.61353,-12.6397,3.57177
231,0.444246,-12.4279,3.87746
232,0.0714369,-12.8747,3.08983
233,0.0799398,-12.9372,2.94062
234,0.158816,-13.0084,1.59962
